status,polygon_id,park_name,alt_name,park_address,neighborhood,inclusion,stair_free,benches_wheelchair,table_wheelchair,drinking_fountain,spray_play,benches_along_path,shaded_seating,shade_type,bathroom,playground_surface_cat,playground_surface,playground_fencing,accessible_play,sensory_play,other_inclusive,communication,parking_type,near_bus,near_train,dissolved_os_address,dissolved_os,dissolved_os_district,dissolved_os_zip_code,Shape_Length,Shape_Area,shape_wkt
✔ Done,335,A Street Park,Channel Center Park,135-141 A Street,South Boston,,Multisport half-court,,,Y,,,Y,Tree shade,No bathroom,Solid,PIP rubber,"Park not enclosed, Playground not enclosed",No accessible play elements,Dish swing,,,On street (permitted),,,135-141 A Street,A Street Park,South Boston,02210,0.003293237823032,0.000000601601342,
✔ Done,1,Adams Park,"Irving W. Adams Park, Roslindale Square, Hartin Square",4225 Washington Street,Roslindale,,"Seating area, Monuments",Y,Y,,,,Y,Tree shade,No bathroom,,,Park partially enclosed,No playground at this park,No playground at this park,,,On street (accessible),,,4225 Washington Street,Adams Park,Roslindale,02131,0.002574920288103,0.000000311486770,
✔ Done,2,Adams/King Playground,Old Hemenway School Site,470 Adams Street,Dorchester,,"Game table, Street hockey, Seating area, Playground",Y,Y,Y,,,Y,Tree shade,No bathroom,Solid,PIP rubber,Playground not enclosed,"Play panels, Transfer station, Ground level play",Dish swing,,,On street,"Adams St @ King St, 197 ft",,470 Adams Street,Adams/King Playground,Dorchester,02122,0.002221747221609,0.000000299298230,
✔ Done,4,Allandale Woods (Urban Wild),,75 VFW Parkway,West Roxbury,,No stair free access at this park,,,,,,,,,,,,No playground at this park,No playground at this park,,,,,,75 VFW Parkway,Allandale Woods*,Roslindale,"02132, 02467",0.086685706877398,0.000037420214142,
✔ Done,5,Allen Park,"Rev James K Allen Park, James F Donovan Park, Dorchester Square or Common",1-19 Church Street,Dorchester,,"Loop path, Public art",Y,,Y,,,Y,Tree shade,No bathroom,,,Park not enclosed,No playground at this park,No playground at this park,Solar charging station benches,,On street,,,1-19 Church Street,Allen Park,Dorchester,02122,0.003092098053673,0.000000571538239,
✔ Done,7,Amatucci Playground,,1460 Hyde Park Avenue,Hyde Park,,"Basketball court, Playground",Y,Y,Y,,Y,,,No bathroom,Solid,PIP rubber,"Park partially enclosed, Playground not enclosed","Transfer station, Play panels, Ground level play","Dish swing, Musical play",,,On street,"Hyde Park Ave @ Glenwood Ave, 128 ft",,1460 Hyde Park Avenue,Amatucci Playground,Hyde Park,02136,0.002031037446063,0.000000205677036,"MULTIPOLYGON (((-71.126377310999942 42.248692323000057, -71.126370928999961 42.248705329000074, -71.126719843999979 42.248800970000048, -71.126838777999978 42.248554286000058, -71.126219876999983 42.248310993000075, -71.126050824999936 42.248589667000033, -71.126040427999953 42.248586820000071, -71.126034095999955 42.248599005000074, -71.126204245999986 42.248644913000078, -71.126209359999962 42.248634510000045, -71.126377310999942 42.248692323000057)))"
✔ Done,10000,American Legion Play Area (Franklin Park),,85 American Legion Hwy,Dorchester,,"Fitness equipment, Playground, Seating area",Y,Y,,,,Y,Tree shade,No bathroom,Solid,PIP rubber,Playground not enclosed,"Ground level play, Molded bucket seat swing, Play panels, Transfer station","Dish swing, Roller table, Sensory panel",Accessible game table,,On street (accessible),,,85 American Legion Hwy,American Legion Play Area (Franklin Park),Dorchester,02124,0.005541211429656,0.000001319305371,
✔ Done,9,American Legion Playground,,25 Glendon Street,East Boston,,"Baseball diamond, Soccer field, Basketball court, Playground, Seating area, Loop path, Multi-purpose sport court",Y,Y,Y,,Y,,,Portable toilet,Solid,PIP rubber,"Playground fully enclosed, Park partially enclosed","Ground level play, Play panels, Molded bucket seat swing",Musical play,,,On street,,,25 Glendon Street,American Legion Playground,East Boston,02128,0.004932239117954,0.000001495520190,"MULTIPOLYGON (((-71.028733410999962 42.381402843000046, -71.028892117999987 42.382502295000052, -71.030174019999947 42.38250430100004, -71.030177153999944 42.381408572000055, -71.028733410999962 42.381402843000046)))"
✔ Done,350,Amory Street Park,,108 Amory Street,Jamaica Plain,,Seating area,Y,Y,,,,Y,Shade shelter,No bathroom,,,Park partially enclosed,No playground at this park,No playground at this park,,,On street,,,108 Amory Street,Amory Street Park,Jamaica Plain,02119,0.001028739073212,0.000000054027123,
✔ Done,10,Angell Memorial Square,,152-158 Congress Street,Central Boston,,"Monuments, Public art",,,,,,Y,Tree shade,No bathroom,,,Park not enclosed,No playground at this park,No playground at this park,,,On street (accessible),,,152-158 Congress Street,Angell Memorial Square,Central Boston,02109,0.001220843360045,0.000000078114256,
