Park_Name,Play_Name,Neighbor,OS_ID,Asset,asset_deta,Asset_use1,Asset_use2,Asset_use3,Age,shape_wkt,POINT_X,POINT_Y
Dorchester Park,N/A,Dorchester,90,Athletic Seating,Dugout,No Companion Seating ,UA,N/A,N/A,POINT (-71.061670184999969 42.276077789000055),-71.061670184999969,42.276077789000055
Dorchester Park,N/A,Dorchester,90,Athletic Seating,Dugout,No Companion Seating ,UA,N/A,N/A,POINT (-71.061478291999947 42.276007028000038),-71.061478291999947,42.276007028000038
Iacono/Readville Playground,N/A,Hyde Park,160,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.134794242999988 42.239251353000043),-71.134794242999988,42.239251353000043
East Boston Memorial Park I,N/A,East Boston,98,Playground,"Engineered Wood Fiber, PIP Rubber",N/A,N/A,N/A,"2-5,5-12",POINT (-71.030957509999951 42.371479945000033),-71.030957509999951,42.371479945000033
East Boston Memorial Park I,N/A,East Boston,98,Tennis,Full,Pickleball x 1,N/A,N/A,N/A,POINT (-71.027786065999976 42.370267899000055),-71.027786065999976,42.370267899000055
East Boston Memorial Park I,N/A,East Boston,98,Tennis,Full,Pickleball x 1,N/A,N/A,N/A,POINT (-71.027612752999971 42.370376825000051),-71.027612752999971,42.370376825000051
Bynoe Park,N/A,Roxbury,100,Athletic Seating,Bleacher,Companion Seating ,UA,N/A,N/A,POINT (-71.076622248999968 42.329478893000044),-71.076622248999968,42.329478893000044
Bynoe Park,N/A,Roxbury,100,Athletic Seating,Players Bench,No Companion Seating ,UA,N/A,N/A,POINT (-71.076323039999977 42.329489744000057),-71.076323039999977,42.329489744000057
Bynoe Park,N/A,Roxbury,100,Athletic Seating,Dugout,Companion Seating ,UA,N/A,N/A,POINT (-71.076544164999973 42.329528013000072),-71.076544164999973,42.329528013000072
Bynoe Park,N/A,Roxbury,100,Athletic Seating,Bleacher,Companion Seating,UA,N/A,N/A,POINT (-71.076625763999971 42.329815463000045),-71.076625763999971,42.329815463000045
Iacono/Readville Playground,N/A,Hyde Park,160,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.134996079999951 42.239302062000036),-71.134996079999951,42.239302062000036
Draper Playground,N/A,West Roxbury,93,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.160311760999946 42.259559471000046),-71.160311760999946,42.259559471000046
Ross Playground,N/A,Hyde Park,270,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.113979438999934 42.263706119000062),-71.113979438999934,42.263706119000062
Ross Playground,N/A,Hyde Park,270,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.113766196999961 42.263757288000079),-71.113766196999961,42.263757288000079
Hunt Playground,N/A,Mattapan,6,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.097121863999973 42.274533275000067),-71.097121863999973,42.274533275000067
Hunt Playground,N/A,Mattapan,6,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.097299436999947 42.274631278000072),-71.097299436999947,42.274631278000072
Walker Playground,N/A,Mattapan,310,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.090263806999985 42.277996194000025),-71.090263806999985,42.277996194000025
Walker Playground,N/A,Mattapan,310,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.090075437999985 42.27813829300004),-71.090075437999985,42.278138293000040
Billings Field,N/A,West Roxbury,23,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.155927820999977 42.28228686500006),-71.155927820999977,42.282286865000060
Billings Field,N/A,West Roxbury,23,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.155719806999969 42.282346870000026),-71.155719806999969,42.282346870000026
Thetford/Evans Playground,N/A,Dorchester,302,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.077768769999977 42.283356793000053),-71.077768769999977,42.283356793000053
Roberts Playground,N/A,Dorchester,265,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.072520941999983 42.285465998000063),-71.072520941999983,42.285465998000063
Roberts Playground,N/A,Dorchester,265,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.072287293999977 42.285497869000039),-71.072287293999977,42.285497869000039
Fallon Field,N/A,Roslindale,112,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.136328485999968 42.287056326000027),-71.136328485999968,42.287056326000027
Fallon Field,N/A,Roslindale,112,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.136558496999953 42.287086827000053),-71.136558496999953,42.287086827000053
Garvey Playground,N/A,Dorchester,130,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.045775946999981 42.287584407000054),-71.045775946999981,42.287584407000054
Healy Playground,N/A,Roslindale,149,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.122977451999986 42.288155035000045),-71.122977451999986,42.288155035000045
A Street Park,N/A,South Boston,335,Playground,PIP Rubber,N/A,N/A,N/A,"2-5,5-12",POINT (-71.052549317999933 42.343811606000031),-71.052549317999933,42.343811606000031
Bynoe Park,N/A,Roxbury,100,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.076379779999968 42.329397549000078),-71.076379779999968,42.329397549000078
Hemenway Playground,N/A,Dorchester,151,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.05675307599995 42.291701304000071),-71.056753075999950,42.291701304000071
Dorchester Park,N/A,Dorchester,90,Athletic Seating,Dugout,Companion Seating ,UA,N/A,N/A,POINT (-71.063743473999978 42.278181965000044),-71.063743473999978,42.278181965000044
Dorchester Park,N/A,Dorchester,90,Athletic Seating,Dugout,Companion Seating ,UA,N/A,N/A,POINT (-71.063729067999986 42.278209748000052),-71.063729067999986,42.278209748000052
Dorchester Park,N/A,Dorchester,90,Athletic Seating,Dugout,Companion Seating ,UA,N/A,N/A,POINT (-71.063606450999941 42.277960084000028),-71.063606450999941,42.277960084000028
Dorchester Park,N/A,Dorchester,90,Athletic Seating,Dugout,Companion Seating ,UA,N/A,N/A,POINT (-71.063643379999974 42.277971757000046),-71.063643379999974,42.277971757000046
Harambee Park,N/A,Dorchester,142,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.081233441999984 42.292439953000041),-71.081233441999984,42.292439953000041
Harambee Park,N/A,Dorchester,142,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.081132908999962 42.29262701600004),-71.081132908999962,42.292627016000040
Parkman Playground,N/A,Jamaica Plain,229,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.113210194999965 42.295601066000074),-71.113210194999965,42.295601066000074
Doherty/Gibson Playground,N/A,Dorchester,88,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062134570999945 42.297679153000047),-71.062134570999945,42.297679153000047
Doherty/Gibson Playground,N/A,Dorchester,88,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062543939999955 42.29779783500004),-71.062543939999955,42.297797835000040
Ripley Playground,N/A,Dorchester,261,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.075899577999962 42.299020312000039),-71.075899577999962,42.299020312000039
Fenelon Street Playground,N/A,Dorchester,114,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079618666999977 42.303207863000068),-71.079618666999977,42.303207863000068
Ronan Park,N/A,Dorchester,268,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062564153999972 42.304793188000076),-71.062564153999972,42.304793188000076
Ronan Park,N/A,Dorchester,268,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.062636236999936 42.304934834000051),-71.062636236999936,42.304934834000051
Bynoe Park,N/A,Roxbury,100,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.076438199999984 42.329250151000053),-71.076438199999984,42.329250151000053
Bynoe Park,N/A,Roxbury,100,Basketball,Half,N/A,N/A,N/A,N/A,POINT (-71.076565780999942 42.329340795000064),-71.076565780999942,42.329340795000064
Bynoe Park,N/A,Roxbury,100,Tennis,Full,Pickleball x 1,N/A,N/A,N/A,POINT (-71.076579002999949 42.32916222700004),-71.076579002999949,42.329162227000040
Ceylon Park,N/A,Dorchester,49,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.074861466999948 42.309859150000079),-71.074861466999948,42.309859150000079
Savin Hill Park,N/A,Dorchester,276,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.047768051999981 42.310484364000047),-71.047768051999981,42.310484364000047
Quincy Street Play Area,N/A,Roxbury,250,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.079820136999956 42.314642106000065),-71.079820136999956,42.314642106000065
Trotter School Playground,N/A,Roxbury,306,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.089022390999958 42.315172368000049),-71.089022390999958,42.315172368000049
Hannon Playground,N/A,Roxbury,141,Basketball,Full,N/A,N/A,N/A,N/A,POINT (-71.070995514999936 42.319569694000052),-71.070995514999936,42.319569694000052
