id,spp_com,spp_bot,numberof_st,dbh_range,dbh,date_plant,neighborhood,park,os_id,address,street,suffix,site,x_longitude,y_latitude,shape_wkt,POINT_X,POINT_Y
361,"Maple, Norway",Acer platanoides,1.00000000,0-3in,2.00000000,--,South End,,,93,West Brookline Street,a,1,-71.0738144,42.3408089,POINT (-71.07381399999997 42.340810000000033),-71.073813999999970,42.340810000000033
6723,Apple/Crabapple,Malus species,1.00000000,0-3in,1.00000000,--,East Boston,,,370,Sumner Street,,1,-71.0345001,42.3666687,POINT (-71.03449999999998 42.366670000000056),-71.034499999999980,42.366670000000056
10480,Ginkgo,Ginkgo biloba,1.00000000,0-3in,1.00000000,--,Roxbury,,,1044,Tremont Street,,1,-71.0857010,42.3362732,POINT (-71.085699999999974 42.336273000000062),-71.085699999999974,42.336273000000062
10501,"Linden, Littleleaf",Tilia cordata,1.00000000,3-6in,3.00000000,--,Roxbury,,,975,Tremont Street,,1,-71.0840836,42.3373909,POINT (-71.084079999999972 42.337390000000028),-71.084079999999972,42.337390000000028
11089,"Maple, Red",Acer rubrum,1.00000000,6-12in,6.00000000,--,Jamaica Plain,,,5,Orchard Street,,1,-71.1198730,42.3089943,POINT (-71.119870000999981 42.308994000000041),-71.119870000999981,42.308994000000041
11620,"Lilac, Japanese Tree",Syringa reticulata,1.00000000,3-6in,3.00000000,--,Roslindale,,,33,Bexley Road,,1,-71.1249008,42.2872658,POINT (-71.124899999999968 42.287266000000045),-71.124899999999968,42.287266000000045
12169,"Linden, Littleleaf",Tilia cordata,1.00000000,>30in,31.00000000,--,Roslindale,,,16,Robken Road,,1,-71.1339951,42.2932930,POINT (-71.13399499999997 42.293293000000062),-71.133994999999970,42.293293000000062
13489,Honeylocust,Gleditsia triacanthos,1.00000000,3-6in,3.00000000,--,West Roxbury,,,156,spring street,,1,-71.1665955,42.2760658,POINT (-71.166594999999973 42.276066000000071),-71.166594999999973,42.276066000000071
15233,"Oak, Swamp White",Quercus bicolor,1.00000000,3-6in,4.00000000,--,South End,,,1736,Washington Street,,1,-71.0764771,42.3367119,POINT (-71.076479999999947 42.336710000000039),-71.076479999999947,42.336710000000039
17430,Honeylocust,Gleditsia triacanthos,1.00000000,3-6in,3.00000000,--,Roxbury,,,149,Dewitt Drive,,1,-71.0854874,42.3315010,POINT (-71.085489999999936 42.331500000000062),-71.085489999999936,42.331500000000062
18790,Honeylocust,Gleditsia triacanthos,1.00000000,12-18in,14.00000000,--,Dorchester,,,427,Washington Street,,1,-71.0723801,42.2967567,POINT (-71.072379999999953 42.296757000000071),-71.072379999999953,42.296757000000071
1383,Ginkgo,Ginkgo biloba,1.00000000,3-6in,3.00000000,--,Back Bay/Beacon Hill,,,850,Boylston Street,,1,-71.0828934,42.3485107,POINT (-71.082889999999963 42.348510000000033),-71.082889999999963,42.348510000000033
1481,"Maple, Red",Acer rubrum,1.00000000,3-6in,4.00000000,--,South End,,,130,Chandler Street,,1,-71.0742645,42.3460197,POINT (-71.074264999999968 42.346020000000067),-71.074264999999968,42.346020000000067
19023,Goldenrain Tree,Koelreuteria paniculata,1.00000000,3-6in,3.00000000,--,Dorchester,,,10,Saxton Street,,1,-71.0548706,42.3126144,POINT (-71.054869999999937 42.312614000000053),-71.054869999999937,42.312614000000053
20523,Honeylocust,Gleditsia triacanthos,1.00000000,3-6in,3.00000000,--,Charlestown,,,46,Union Street,,2,-71.0668106,42.3739815,POINT (-71.066809999999975 42.373980000000074),-71.066809999999975,42.373980000000074
21105,"Maple, Red",Acer rubrum,1.00000000,6-12in,7.00000000,--,Hyde Park,,,125,Deforest Street,,1,-71.1312561,42.2700233,POINT (-71.131255999999951 42.270023000000037),-71.131255999999951,42.270023000000037
2349,"Oak, Pin",Quercus palustris,1.00000000,3-6in,4.00000000,--,Roxbury,,,57,Windsor Street,a,1,-71.0839539,42.3350220,POINT (-71.083953999999949 42.335022000000038),-71.083953999999949,42.335022000000038
24661,Ginkgo,Ginkgo biloba,1.00000000,3-6in,4.00000000,--,Mission Hill,,,60,McGreevey Way,,2,-71.0986252,42.3353195,POINT (-71.098625000999959 42.335320000000081),-71.098625000999959,42.335320000000081
24845,"Maple, Red",Acer rubrum,1.00000000,3-6in,3.00000000,--,Roxbury,,,757,Shawmut Avenue,,4,-71.0841980,42.3319511,POINT (-71.084199999999953 42.331950000000063),-71.084199999999953,42.331950000000063
2542,"Linden, Littleleaf",Tilia cordata,1.00000000,3-6in,4.00000000,--,Back Bay/Beacon Hill,,,8,Saint Germain Street,,3,-71.0867081,42.3459396,POINT (-71.086710000999972 42.345940000000041),-71.086710000999972,42.345940000000041
26793,"Linden, Littleleaf",Tilia cordata,1.00000000,3-6in,3.00000000,--,South End,,,112,Appleton Street,,1,-71.0741882,42.3452263,POINT (-71.074189999999987 42.345226000000025),-71.074189999999987,42.345226000000025
2629,"Hackberry, Northern",Celtis occidentalis,1.00000000,3-6in,3.00000000,--,South End,,,136,Chandler Street,,1,-71.0744858,42.3459625,POINT (-71.074485999999979 42.34596300000004),-71.074485999999979,42.345963000000040
2696,"Dogwood, Kousa",Cornus kousa,1.00000000,0-3in,2.00000000,--,East Boston,,,218,Waldemar Avenue,,1,-71.0091248,42.3934250,POINT (-71.009124999999983 42.393425000000036),-71.009124999999983,42.393425000000036
29312,Ginkgo,Ginkgo biloba,1.00000000,6-12in,6.00000000,--,South End,,,503,Columbus Avenue,,1,-71.0795517,42.3424911,POINT (-71.079549999999983 42.342490000000055),-71.079549999999983,42.342490000000055
886,Honeylocust,Gleditsia triacanthos,1.00000000,6-12in,9.00000000,--,Central Boston,,,300,Commercial Street,,6,-71.0512009,42.3650398,POINT (-71.051199999999938 42.365040000000079),-71.051199999999938,42.365040000000079
945,Ginkgo,Ginkgo biloba,1.00000000,6-12in,11.00000000,--,Central Boston,,,109,Endicott Street,,1,-71.0572968,42.3645897,POINT (-71.057299999999941 42.364590000000078),-71.057299999999941,42.364590000000078
1145,Ginkgo,Ginkgo biloba,1.00000000,0-3in,2.00000000,--,East Boston,,,96,Paris Street,,2,-71.0380020,42.3721657,POINT (-71.037999999999954 42.37216600000005),-71.037999999999954,42.372166000000050
2044,Honeylocust,Gleditsia triacanthos,1.00000000,3-6in,3.00000000,--,South End,,,333,Columbus Avenue,,3,-71.0750885,42.3461342,POINT (-71.075087375999942 42.346133965000035),-71.075087375999942,42.346133965000035
2250,"Planetree, London",Platanus x acerifolia,1.00000000,6-12in,9.00000000,--,Mission Hill,,,55,Smith Street,A,1,-71.0995483,42.3341293,POINT (-71.099550000999955 42.334130000000073),-71.099550000999955,42.334130000000073
2355,"Linden, Littleleaf",Tilia cordata,1.00000000,12-18in,17.00000000,--,South End,,,28,San Juan Street,a,3,-71.0740738,42.3412361,POINT (-71.074069999999949 42.341236000000038),-71.074069999999949,42.341236000000038
2591,"Maple, Red",Acer rubrum,1.00000000,0-3in,2.00000000,--,East Boston,,,3,McCormick Square,,1,-71.0311203,42.3647766,POINT (-71.031120000999977 42.364777000000061),-71.031120000999977,42.364777000000061
2795,Honeylocust,Gleditsia triacanthos,1.00000000,12-18in,13.00000000,--,Charlestown,,,40,2nd Avenue,,3,-71.0539856,42.3757477,POINT (-71.053986000999942 42.375748000000044),-71.053986000999942,42.375748000000044
3125,Apple/Crabapple,Malus species,1.00000000,6-12in,6.00000000,--,Central Boston,,,245,Cambridge Street,,3,-71.0675507,42.3611755,POINT (-71.067549999999983 42.361176000000057),-71.067549999999983,42.361176000000057
3474,Honeylocust,Gleditsia triacanthos,1.00000000,3-6in,3.00000000,--,East Boston,,,178,Brooks Street,,2,-71.0359268,42.3797874,POINT (-71.035929999999951 42.379787000000078),-71.035929999999951,42.379787000000078
4062,"Maple, Red",Acer rubrum,1.00000000,3-6in,5.00000000,--,Charlestown,,,50,Washington Street,,1,-71.0654678,42.3732872,POINT (-71.065469999999948 42.373287000000062),-71.065469999999948,42.373287000000062
8740,"Maple, Red",Acer rubrum,1.00000000,3-6in,3.00000000,--,Dorchester,,,36,Harvard Avenue,,1,-71.0759430,42.3006020,POINT (-71.075940000999935 42.300602000000026),-71.075940000999935,42.300602000000026
9054,"Pear, Callery",Pyrus calleryana,1.00000000,18-24in,18.00000000,--,East Boston,,,313,Bennington Street,,2,-71.0278854,42.3790855,POINT (-71.027885000999959 42.379086000000029),-71.027885000999959,42.379086000000029
