neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,shape_wkt,POINT_X,POINT_Y
N_568579452955534204,Dorchester,Q3AK-CHXF-RGX7,DOT-GREENWOOD-MR76 AP2,"189 Glenway St., Dorchester, MA",42.296553338999999,-71.080653905999995,{},8/19/2026 2:40:49.000,1,,,,,POINT (-71.080653905999952 42.29655333900007),-71.080653905999952,42.296553339000070
N_579275502070532581,Roxbury,Q3AK-DCRG-BFEQ,ROX-EMERSON-MR76 AP2,"6 SHIRLEY ST
 ROXBURY, MA 02119",42.323517334000002,-71.072877907000006,{},8/19/2026 2:40:52.000,1,,,,,POINT (-71.072877906999963 42.32351733400003),-71.072877906999963,42.323517334000030
N_568579452955534204,Dorchester,Q3AK-KPBF-RQPB,DOT-BPL-UphamsCorner-Roof-MR76-AP4,"500 Columbia Rd., Dorchester, MA",42.314769335999998,-71.067581408999999,"{BPL,Outside,Uphams-Corner-Branch}",8/19/2026 2:40:49.000,1,BPL,,Outside,Uphams Corner Branch,POINT (-71.067581408999956 42.31476933600004),-71.067581408999956,42.314769336000040
N_568579452955534204,Dorchester,Q3AK-KF43-SL9A,DOT-HOLLAND-MR76 AP1,"85 Olney St., Dorchester, MA",42.305607336999998,-71.073858908000005,{},8/19/2026 2:40:49.000,1,,,,,POINT (-71.073858907999977 42.305607337000026),-71.073858907999977,42.305607337000026
N_568579452955534204,Dorchester,Q3AK-ERXZ-SVYN,DOT-BPDC11-MR76-AP1,"40 Gibson st, Dorchester, ma",42.297966338000002,-71.059260913000003,{recently-added},8/19/2026 2:40:49.000,1,,,,,POINT (-71.059260912999946 42.297966338000037),-71.059260912999946,42.297966338000037
N_568579452955537848,South Boston,Q3AK-FNBK-NMB3,SB-PERRY-MR76 AP2,,,,"{employee,recently-added}",8/19/2026 2:40:50.000,1,,,,employee,,,
N_568579452955537848,South Boston,Q3AK-CZDU-7UBV,SB-HIGHSCHOOL-MR76 AP2,"95 G St., South Boston, MA",42.332859331000002,-71.044887915000004,{},8/19/2026 2:40:50.000,1,,,,,POINT (-71.044887914999947 42.332859331000066),-71.044887914999947,42.332859331000066
N_568579452955537848,South Boston,Q3AK-DEDQ-VUCP,SB-HIGHSCHOOL-MR76 AP1,"95 G St., South Boston, MA",42.332859331000002,-71.044887915000004,{},8/19/2026 2:40:50.000,1,,,,,POINT (-71.044887914999947 42.332859331000066),-71.044887914999947,42.332859331000066
N_568579452955538062,Charlestown,Q3AK-D3T9-C5CY,CHL-HIGHSCHOOL-MR76- AP2,"240 Medford St., Charlestown, MA",42.380109322999999,-71.061069907000004,{},8/19/2026 2:40:50.000,1,,,,,POINT (-71.061069906999933 42.380109323000056),-71.061069906999933,42.380109323000056
N_568579452955538316,Hyde Park,Q3AK-DHB8-QYBW,HP-BPD18-MR76 AP2,"1249 Hyde Park Ave., Hyde Park, MA",42.256467348000001,-71.124218393999996,{},8/19/2026 2:40:51.000,1,,,,,POINT (-71.124218393999968 42.256467348000058),-71.124218393999968,42.256467348000058
N_568579452955538316,Hyde Park,Q3AE-QUJD-D49Q,HP-BPL-MR86 AP1,"35 Harvard Ave., Hyde Park, MA - Roof North",42.257106348000001,-71.122089893999998,{},8/19/2026 2:40:51.000,1,,,,,POINT (-71.122089893999942 42.257106348000036),-71.122089893999942,42.257106348000036
N_568579452955538316,Hyde Park,Q3AK-CUSV-LHEA,HP-BPL-MR76 AP2,"35 Harvard Ave., Hyde Park, MA - Roof South",42.257106348000001,-71.122089893999998,{},8/19/2026 2:40:51.000,1,,,,,POINT (-71.122089893999942 42.257106348000036),-71.122089893999942,42.257106348000036
N_568579452955538316,Hyde Park,Q3AK-D9UD-UJSP,HP-BFD48-MR76 AP2,"60 Fairmont Ave., Hyde Park, MA",42.255117349000002,-71.119880394999996,{recently-added},8/19/2026 2:40:51.000,1,,,,,POINT (-71.119880394999939 42.255117349000045),-71.119880394999939,42.255117349000045
N_568579452955538316,Hyde Park,Q3AK-EQZ5-MHCW,HP-Maple-MR76 AP1,"Maple St., Hyde Park, MA - between Oak and River St.",42.254570000000001,-71.122450000000001,{},8/19/2026 2:40:51.000,1,,,,,POINT (-71.122449999999958 42.254570000000058),-71.122449999999958,42.254570000000058
N_568579452955538316,Hyde Park,Q3AE-7L99-733V,HP-BFD48-MR86 AP1,"60 Fairmont Ave., Hyde Park, MA",42.255117349000002,-71.119880394999996,{recently-added},8/19/2026 2:40:51.000,1,,,,,POINT (-71.119880394999939 42.255117349000045),-71.119880394999939,42.255117349000045
